areasymbol,musym,muname,compname,comppct_r,drainagecl,taxorder,taxsuborder
IN169,OmC,"Ormas loamy sand, 6 to 15 percent slopes",Ormas,90,Well drained,Alfisols,Udalfs
IN179,Pg,"Pella silty clay loam, till substratum",Pella,100,Poorly drained,Mollisols,Aquolls
IN087,HpopA,"Houghton muck, ponded, 0 to 1 percent slopes",Houghton,90,Very poorly drained,Histosols,Saprists
IN017,MnD2,"Miami silt loam, 12 to 18 percent slopes, eroded",Miami,85,Moderately well drained,Alfisols,Udalfs
IN023,Ko,"Kokomo silt loam, overwash, 0 to 2 percent slopes",Kokomo,90,Very poorly drained,Mollisols,Aquolls
IN027,AlE3,"Alford silt loam, 18 to 35 percent slopes, severely eroded",Alford,95,Well drained,Alfisols,Udalfs
IN147,UnB2,"Uniontown silt loam, 2 to 6 percent slopes, eroded",Uniontown,100,Moderately well drained,Alfisols,Udalfs
IN025,W,Water,Water,100,,,
IN029,EdE3,"Eden flaggy silty clay loam, 15 to 25 percent slopes, severely eroded",Eden,100,Well drained,Alfisols,Udalfs
IN161,FcA,"Fincastle silt loam, Southern Ohio Till Plain, 0 to 2 percent slopes",Fincastle,85,Somewhat poorly drained,Alfisols,Aqualfs
IN137,W,Water,Water,100,,,
IN099,HtbAN,"Houghton muck, drained, 0 to 1 percent slopes",Houghton,75,Very poorly drained,Histosols,Saprists
IN071,StdAQ,"Stendal silt loam, 0 to 2 percent slopes, rarely flooded",Stendal,90,Somewhat poorly drained,Inceptisols,Aquepts
IN095,MoD3,"Miami clay loam, 12 to 18 percent slopes, severely eroded",Miami,90,Moderately well drained,Alfisols,Udalfs
IN095,Pc,"Pewamo silty clay loam, 0 to 1 percent slopes",Pewamo,85,Very poorly drained,Mollisols,Aquolls
IN145,Qu,Quarries,"Pits, quarry",90,Well drained,,
IN041,Br,"Brookston silt loam, 0 to 2 percent slopes",Brookston,95,Poorly drained,Mollisols,Aquolls
IN001,SarA,"Saranac silty clay loam, 0 to 2 percent slopes, frequently flooded",Saranac,85,Very poorly drained,Mollisols,Aquolls
IN027,IvA,"Iva silt loam, 0 to 2 percent slopes",Iva,90,Somewhat poorly drained,Alfisols,Aqualfs
IN101,HeoD3,"Hickory silt loam, Wabash Lowland, 12 to 18 percent slopes, severely eroded",Hickory,85,Well drained,Alfisols,Udalfs
IN153,AfB2,"Alford silt loam, 2 to 5 percent slopes, eroded",Alford,95,Well drained,Alfisols,Udalfs
IN133,AnC,"Alvin sandy loam, 6 to 12 percent slopes",Alvin,100,Well drained,Alfisols,Udalfs
IN163,Bo,Bonnie silt loam,Bonnie,100,Poorly drained,Entisols,Aquents
IN119,SneD3,"Solsberry silt loam, 12 to 18 percent slopes, severely eroded",Solsberry,75,Moderately well drained,Alfisols,Udalfs
IN035,UccA,"Urban land-Crosby-Treaty complex, 0 to 2 percent slopes",Urban land,45,,,
IN035,UccA,"Urban land-Crosby-Treaty complex, 0 to 2 percent slopes",Treaty,15,Poorly drained,Mollisols,Aquolls
IN035,UccA,"Urban land-Crosby-Treaty complex, 0 to 2 percent slopes",Crosby,20,Somewhat poorly drained,Alfisols,Aqualfs
IN109,YmeB2,"Martinsville loam-Urban land complex, 2 to 6 percent slopes, eroded",Martinsville,70,Well drained,Alfisols,Udalfs
IN109,YmeB2,"Martinsville loam-Urban land complex, 2 to 6 percent slopes, eroded",Urban land,30,,,
IN019,EesB,"Elkinsville-Millstone silt loams, 2 to 6 percent slopes",Millstone,43,Well drained,Ultisols,Udults
IN019,EesB,"Elkinsville-Millstone silt loams, 2 to 6 percent slopes",Elkinsville,52,Well drained,Alfisols,Udalfs
IN105,IvA,"Iva silt loam, 0 to 2 percent slopes",Iva,90,Somewhat poorly drained,Alfisols,Aqualfs
IN125,HoA,"Hosmer silt loam, 0 to 2 percent slopes",Hosmer,90,Moderately well drained,Alfisols,Udalfs
IN031,Cg,"Chagrin loam, frequently flooded",Chagrin,100,Well drained,Inceptisols,Udepts
IN081,HkF,"Hickory silt loam, 18 to 40 percent slopes",Hickory,100,Well drained,Alfisols,Udalfs
IN145,HeE,"Hennepin loam, 18 to 25 percent slopes",Hennepin,100,Well drained,Inceptisols,Udepts
IN063,Rn,Rensselaer clay loam,Rensselaer,100,Poorly drained,Mollisols,Aquolls
IN057,YoxA,"Ockley silt loam-Urban land complex, 0 to 2 percent slopes",Urban land,30,,,
IN057,YoxA,"Ockley silt loam-Urban land complex, 0 to 2 percent slopes",Ockley,55,Well drained,Alfisols,Udalfs
IN041,Ee,Eel loam,Eel,90,Moderately well drained,Inceptisols,Udepts
IN041,XnA,"Xenia and Celina silt loams, 0 to 2 percent slopes",Xenia,51,Moderately well drained,Alfisols,Udalfs
IN041,XnA,"Xenia and Celina silt loams, 0 to 2 percent slopes",Celina,49,Moderately well drained,Alfisols,Udalfs
IN061,KxmE2,"Knobcreek-Haggatt-Caneyville silt loams, 12 to 25 percent slopes, eroded",Knobcreek,33,Well drained,Alfisols,Udalfs
IN061,KxmE2,"Knobcreek-Haggatt-Caneyville silt loams, 12 to 25 percent slopes, eroded",Haggatt,22,Well drained,Alfisols,Udalfs
IN061,KxmE2,"Knobcreek-Haggatt-Caneyville silt loams, 12 to 25 percent slopes, eroded",Caneyville,20,Well drained,Alfisols,Udalfs
IN083,FaB,"Fairpoint parachannery silt loam, 0 to 8 percent slopes",Fairpoint,100,Well drained,Entisols,Orthents
IN129,WhB,"Wheeling loam, 2 to 6 percent slopes, rarely flooded",Wheeling,100,Well drained,Ultisols,Udults
IN141,CnbA,"Coloma sand, 0 to 2 percent slopes",Coloma,85,Somewhat excessively drained,Entisols,Psamments
IN149,HplrA,"Houghton muck, drained, prairie peninsula, 0 to 1 percent slopes",Houghton,90,Very poorly drained,Histosols,Saprists
IN113,RsC2,"Riddles sandy loam, 6 to 12 percent slopes, eroded",Riddles,85,Well drained,Alfisols,Udalfs
IN135,LoC3,"Losantville clay loam, 6 to 12 percent slopes, severely eroded",Losantville,85,Moderately well drained,Alfisols,Udalfs
IN085,Sn,"Shoals loam, gravelly substratum, occasionally flooded",Shoals,90,Somewhat poorly drained,Inceptisols,Aquepts
IN095,CnB2,"Celina silt loam, 2 to 6 percent slopes, eroded",Celina,90,Moderately well drained,Alfisols,Udalfs
IN019,CldC3,"Cincinnati-Blocher silt loams, 6 to 12 percent slopes, severely eroded",Cincinnati,42,Moderately well drained,Alfisols,Udalfs
IN019,CldC3,"Cincinnati-Blocher silt loams, 6 to 12 percent slopes, severely eroded",Blocher,34,Moderately well drained,Alfisols,Udalfs
IN047,MmC2,"Miami silt loam, 6 to 12 percent slopes, eroded",Miami,85,Moderately well drained,Alfisols,Udalfs
IN063,FoA,"Fox loam, 0 to 2 percent slopes",Fox,80,Well drained,Alfisols,Udalfs
IN141,MfaA,"Martinsville loam, 0 to 1 percent slopes",Martinsville,70,Well drained,Alfisols,Udalfs
IN109,PrD,"Princeton fine sandy loam, 12 to 18 percent slopes",Princeton,100,Well drained,Alfisols,Udalfs
