areasymbol,musym,muname,compname,comppct_r,drainagecl,taxorder,taxsuborder
IA041,P10,"Afton silty clay loam, Sheldon creek formation, 0 to 2 percent slopes, occasionally flooded",Afton,90,Poorly drained,Mollisols,Aquolls
IA041,354,"Aquolls (marsh), ponded, 0 to 1 percent slopes",Aquolls,80,Very poorly drained,Mollisols,Aquolls
IA041,375,"Fostoria clay loam, lacustrine substratum, 1 to 3 percent slopes",Fostoria,81,Somewhat poorly drained,Mollisols,Udolls
IA041,376F,"Cornell silty clay loam, 18 to 25 percent slopes",Cornell,76,Moderately well drained,Mollisols,Udolls
IA041,379,"Ocheyedan clay loam, lacustrine substratum, 0 to 2 percent slopes",Ocheyedan,85,Moderately well drained,Mollisols,Udolls
IA041,379B,"Ocheyedan clay loam, lacustrine substratum,  2 to 5 percent slopes",Ocheyedan,85,Moderately well drained,Mollisols,Udolls
IA041,379C2,"Ocheyedan clay loam, lacustrine substratum, 5 to 9 percent slopes, moderately eroded",Ocheyedan lacustrine substratum,90,Moderately well drained,Inceptisols,Udepts
IA041,384,"Collinwood silty clay loam, 1 to 3 percent slopes",Collinwood,90,Somewhat poorly drained,Mollisols,Udolls
IA041,390,"Waldorf silty clay loam, 0 to 2 percent slopes",Waldorf,85,Poorly drained,Mollisols,Aquolls
IA041,397,"Letri clay loam, 0 to 2 percent slopes",Letri,90,Poorly drained,Mollisols,Aquolls
IA041,41C,"Sparta loamy sand, 5 to 9 percent slopes",Sparta,90,Excessively drained,Mollisols,Udolls
IA041,433E,"Moneta loam, 14 to 18 percent slopes",Moneta,80,Well drained,Mollisols,Udolls
IA041,433F,"Moneta loam, 18 to 25 percent slopes",Moneta,80,Well drained,Mollisols,Udolls
IA041,433G,"Moneta loam, 25 to 40 percent slopes",Moneta,85,Well drained,Mollisols,Udolls
IA041,455,"Wilmonton clay loam, 1 to 3 percent slopes",Wilmonton,85,Somewhat poorly drained,Mollisols,Udolls
IA041,456,"Wilmonton silty clay loam, 1 to 3 percent slopes",Wilmonton,90,Somewhat poorly drained,Mollisols,Udolls
IA041,485,"Spillville loam, 0 to 2 percent slopes, occasionally flooded",Spillville,95,Somewhat poorly drained,Mollisols,Udolls
IA041,5010,"Pits, sand and gravel",Pits,100,,,
IA041,5040,"Udorthents, loamy (cut and fill land)","Udorthents, loamy",100,,Entisols,Orthents
IA041,506,"Wacousta silty clay loam, depressional, 0 to 1 percent slopes",Wacousta,83,Very poorly drained,Mollisols,Aquolls
IA041,507,"Canisteo clay loam, 0 to 2 percent slopes",Canisteo,75,Poorly drained,Mollisols,Aquolls
