areasymbol,compname,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r,ph1to1h2o_r,awc_r
IA105,Brady,0,20,62,28,10,2,6.2,0.1
IA105,Brady,20,33,62,30,8,0.75,6.2,0.1
IA105,Brady,33,58,62,26,12,0.5,6.2,0.09
IA105,Brady,58,94,65,20,15,0.25,5.8,0.09
IA105,Brady,94,142,80,13,7,0.25,6.2,0.13
IA105,Brady,142,200,93,5,2,0,7.5,0.08
IA045,Wapsie variant,0,23,41.6,37.4,21,3.5,6.5,0.19
IA045,Wapsie variant,23,53,44.3,40.7,15,0.5,5.6,0.16
IA045,Wapsie variant,53,152,92.1,1.9,6,0.5,6.7,0.06
IA115,Colo,20,36,6,64,30,3.5,6.5,0.17
IA115,Colo,0,20,6,64,30,5,6.5,0.16
IA115,Colo,102,117,8,58,34,3.5,6.5,0.16
IA115,Colo,132,200,8,61,31,1.5,6.7,0.2
IA115,Colo,117,132,8,60,32,1.5,6.7,0.18
IA115,Colo,36,86,6,61,33,3.5,6.5,0.16
IA115,Colo,86,102,6,61,33,3.5,6.5,0.16
IA101,Galland,0,23,38.8,36.7,24.5,2,6.5,0.2
IA101,Galland,23,137,29,29.5,41.5,0.25,5.3,0.17
IA101,Galland,137,152,37.4,35.1,27.5,0.25,6.3,0.12
IA127,Muscatine,51,107,5,62,33,1,6,0.18
IA127,Muscatine,0,18,3,67,30,5,5.6,0.23
IA127,Muscatine,18,41,3,67,30,5,5.6,0.23
IA127,Muscatine,41,51,4,63,33,2.5,5.6,0.21
IA127,Muscatine,107,200,5,70,25,0.5,6.8,0.17
IA101,Sparta,0,28,84,10,6,1.5,6.2,0.15
IA101,Sparta,28,38,85,9,6,0.75,6.2,0.15
IA101,Sparta,183,200,91,5,4,0.25,6.3,0.1
IA101,Sparta,38,183,87,8,5,0.25,6.2,0.15
IA073,Wadena,0,18,40,39,21,2.5,5.9,0.18
IA073,Wadena,18,43,45,35,20,1,6.3,0.18
IA073,Wadena,43,76,50,30,20,0.25,6.5,0.18
IA073,Wadena,76,200,85,9,6,0.25,7.9,0.09
IA177,Pershing,0,18,5,73,22,3,5.9,0.23
IA177,Pershing,18,30,14,56,30,0.5,5.6,0.21
IA177,Pershing,140,200,12,58,30,0.25,5.8,0.19
IA177,Pershing,30,140,7,52,41,0.25,5.6,0.19
IA153,Colo,130,145,8,58,34,3.5,6.5,0.16
IA153,Colo,28,56,6,64,30,5,6.5,0.16
IA153,Colo,56,76,6,64,30,3.5,6.5,0.17
IA153,Colo,76,116,6,61,33,3.5,6.5,0.16
IA153,Colo,145,165,8,60,32,1.5,6.7,0.18
IA153,Colo,116,130,6,61,33,3.5,6.5,0.16
IA153,Colo,165,200,8,61,31,1.5,6.7,0.2
