state,year,precip_mm,tmax_f,tmin_f,gdd
Indiana,2010,10.4,44.5,40.2,0
Indiana,2011,32.2,43.4,39.7,0
Indiana,2012,7.4,43.5,39.3,0
Indiana,2013,22.9,43.1,39.2,0
Indiana,2014,17.0,43.4,39.4,0
Indiana,2015,13.7,43.7,39.6,0
Indiana,2016,15.2,43.3,39.4,0
Indiana,2017,17.5,44.2,40.3,0
Indiana,2018,13.1,42.2,38.3,0
Indiana,2019,19.2,43.4,39.7,0
Indiana,2020,9.4,42.9,39.1,0
Indiana,2021,9.6,43.6,39.5,0
Indiana,2022,12.3,42.8,39.2,0
Indiana,2023,8.4,43.5,39.2,0
Iowa,2010,11.2,44.3,39.5,0
Iowa,2011,10.4,42.5,38.6,0
Iowa,2012,14.0,43.7,39.1,0
Iowa,2013,21.7,41.1,37.6,0
Iowa,2014,14.4,42.5,37.8,0
Iowa,2015,10.4,43.7,39.2,0
Iowa,2016,3.4,42.8,38.5,0
Iowa,2017,12.2,43.4,39.6,0
Iowa,2018,8.6,39.6,36.1,0
Iowa,2019,8.8,42.6,38.5,0
Iowa,2020,6.7,41.8,37.4,0
Iowa,2021,7.1,42.6,38.7,0
Iowa,2022,6.2,41.3,37.4,0
Iowa,2023,6.0,43.6,38.7,0
