areasymbol,compname,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r,ph1to1h2o_r,awc_r
IN111,Gilford,76,97,85,7,8,0.75,6.7,0.07
IN111,Gilford,97,152,85,7,8,0.25,7.5,0.07
IN111,Gilford,0,46,59,29,12,4,6.5,0.17
IN111,Gilford,46,76,70,15,15,1.5,6.5,0.13
IN119,McGary,28,107,4,51,45,0.5,6.6,0.15
IN119,McGary,107,127,5,50,45,0.25,7.9,0.15
IN119,McGary,0,28,7,69,24,1.75,6.6,0.21
IN119,McGary,127,152,5,56,39,0.25,8,0.15
IN101,Cuba,0,20,6,77,17,2,5.9,0.21
IN101,Cuba,20,76,10,70,20,0.75,5,0.2
IN101,Cuba,76,152,10,73,17,0.25,4.7,0.16
IN087,Rensselaer,0,38,45,34,21,5,6.7,0.21
IN087,Rensselaer,38,97,40,32,28,2,6.7,0.18
IN087,Rensselaer,97,107,46,30,24,0.75,7.2,0.18
IN087,Rensselaer,107,193,68,22,10,0.5,7.9,0.15
IN087,Rensselaer,193,200,45,42,13,0.25,7.9,0.12
IN041,Avonburg,160,200,30,36,34,0.25,5.9,0.07
IN041,Avonburg,81,107,20,56,24,0.25,4.3,0.1
IN041,Avonburg,0,18,19,68,13,1.5,5.9,0.22
IN041,Avonburg,107,160,24,54,22,0.25,4.5,0.07
IN041,Avonburg,41,81,11,62,27,0.25,4.3,0.18
IN041,Avonburg,18,41,18,66,16,0.5,5,0.22
IN099,Owosso,61,124,42,28,30,0.75,6.2,0.17
IN099,Owosso,0,23,73,23,4,1.5,6.2,0.16
IN099,Owosso,23,43,63,27,10,0.75,6.3,0.14
IN099,Owosso,43,61,63,27,10,0.75,6.3,0.14
IN099,Owosso,124,152,45,40,15,0.75,7.9,0.12
IN001,Whitaker,0,28,24,63,13,2,6.5,0.21
IN001,Whitaker,41,135,46,26,28,0.75,6.7,0.14
IN001,Whitaker,135,152,60,30,10,0.75,6.3,0.09
IN001,Whitaker,28,41,43,44,13,0.75,6.2,0.18
IN061,Caneyville,0,13,12,60,28,1.25,5.9,0.18
IN061,Caneyville,13,25,3,21,76,0.35,5.6,0.12
IN061,Caneyville,25,91,8,39,53,0.8,5.4,0.11
IN061,Caneyville,91,152,,,,,,
IN151,Palms,0,30,,,,65,,0.4
IN151,Palms,64,152,40,37,23,0.5,,0.12
IN151,Palms,30,64,,,,65,,0.4
IN119,Grayford,124,150,,,,,,
IN119,Grayford,81,124,15,35,50,0.25,5.9,0.12
IN119,Grayford,51,81,26,44,30,0.25,5,0.14
IN119,Grayford,0,20,12,68,20,2,5.9,0.21
IN119,Grayford,20,51,12,63,25,0.25,5.9,0.18
IN165,Fox,0,28,41,42,17,2,6.2,0.21
IN165,Fox,28,86,45,28,27,0.75,6.8,0.13
IN165,Fox,86,152,89,8,3,0.25,7.9,0.05
IN171,Markham,0,20,10,65,25,3,6.1,0.21
IN171,Markham,20,97,14,46,40,0.75,6.5,0.13
IN171,Markham,97,152,15,57,28,0.75,7.9,0.02
IN099,Jamestown,84,112,73,17,10,0.75,7,0.11
IN099,Jamestown,112,132,82,11,7,0.25,7,0.11
IN099,Jamestown,28,84,42,40,18,1.25,6.7,0.2
IN099,Jamestown,0,28,21,60,19,3,6.7,0.22
IN099,Jamestown,132,203,40,40,20,0.25,7.9,0.02
IN181,Gilford,89,200,94,3,3,0.25,7.4,0.03
IN181,Gilford,76,89,85,6,9,0.25,6.6,0.09
IN181,Gilford,28,76,70,15,15,0.75,6.3,0.13
IN181,Gilford,0,28,71,18,11,4,6.1,0.15
IN073,Grovecity,81,152,70,18,12,0.75,7.9,0.12
IN073,Grovecity,0,41,65,19,16,3,6.7,0.17
IN073,Grovecity,41,81,65,21,14,1.5,6.7,0.14
IN083,Nolin,0,25,1,65,34,2,5.9,0.21
IN083,Nolin,25,173,19,54,27,1,7,0.21
IN083,Nolin,173,203,26,54,20,0.5,6.8,0.19
IN031,Miami,0,15,28,43,29,1.5,6.5,0.16
IN031,Miami,15,73,31,38,31,0.5,6.1,0.14
IN031,Miami,73,86,38,40,22,0.25,7.4,0.12
IN031,Miami,86,200,45,40,15,0.25,7.9,0.02
IN071,Wakeland,0,18,14,71,15,2,6.4,0.22
IN071,Wakeland,18,74,13,73,14,0.5,6.4,0.22
IN071,Wakeland,74,152,20,66,14,0.25,6.4,0.21
IN025,Bartle,140,203,20,55,25,0.25,5.4,0.21
IN025,Bartle,0,28,12,74,14,1.5,5.9,0.23
IN025,Bartle,43,76,12,60,28,0.25,4.5,0.21
IN025,Bartle,76,140,10,64,26,0.25,4.5,0.07
IN025,Bartle,28,43,12,72,16,0.25,4.5,0.24
IN155,Bonnell,18,46,20,38,42,0.5,5,0.13
IN155,Bonnell,46,165,30,34,36,0.25,6.5,0.14
IN155,Bonnell,165,203,35,35,30,0.25,7.6,0.08
IN155,Bonnell,0,18,19,51,30,2.25,5.9,0.21
IN081,Westland,124,200,87,10,3,0.25,7.9,0.05
IN081,Westland,0,25,35,37,28,3.5,6.7,0.19
IN081,Westland,25,107,35,33,32,1.25,6.7,0.11
IN081,Westland,107,124,45,28,27,1.25,7.4,0.1
IN103,Wawasee,0,18,37,43,20,1.5,6.7,0.16
IN103,Wawasee,18,66,41,35,24,0.5,6.5,0.1
IN103,Wawasee,66,86,41,35,24,0.5,6.5,0.1
IN103,Wawasee,86,200,46,38,16,0.5,7.9,0.03
IN135,Celina,0,20,25,61,14,3.5,7,0.21
IN135,Celina,28,74,30,34,36,0.75,6.5,0.1
IN135,Celina,74,152,40,40,20,0.75,7.9,0.03
IN135,Celina,20,28,20,62,18,0.75,7,0.21
IN097,Shoals,20,33,30,48,22,3,7.2,0.22
IN097,Shoals,33,76,38,36,26,1.25,7.2,0.19
IN097,Shoals,76,200,55,30,15,1.25,7.5,0.13
IN097,Shoals,0,20,20,59,21,3,7.2,0.22
IN051,Patton,0,28,8,59,33,4.25,6.7,0.22
IN051,Patton,28,79,6,60,34,2,7,0.18
IN051,Patton,79,96,6,60,34,1.5,7,0.18
IN051,Patton,96,152,21,50.5,28.5,0.25,7.9,0.09
IN077,Wirt,97,152,55,35,10,0.25,6.5,0.13
IN077,Wirt,20,97,41,43,16,0.5,6.5,0.16
IN077,Wirt,0,20,30,54,16,2,6.2,0.22
IN089,Del Rey,33,122,11,51,38,1.5,5.8,0.14
IN089,Del Rey,122,152,15,54,31,0.75,7.6,0.09
IN089,Del Rey,0,33,20,60,20,3,5.8,0.23
IN093,Bloomfield,183,203,90,5,5,0.5,7.4,0.07
IN093,Bloomfield,84,183,89,5,6,0.5,6.5,0.1
IN093,Bloomfield,23,84,89,5,6,0.5,6.5,0.1
IN093,Bloomfield,0,23,83,14,3,1,6.5,0.1
IN079,Hickory,0,15,26,61,13,2.25,5.5,0.21
IN079,Hickory,97,112,40,36,24,0.25,6.5,0.15
IN079,Hickory,15,97,30,39,31,0.25,5.3,0.17
IN079,Hickory,112,203,40,40,20,0.25,7.9,0.13
IN149,Prochaska,0,30,85,10,5,3,6.2,0.11
IN149,Prochaska,30,61,85,9,6,1.25,6.5,0.07
IN149,Prochaska,61,152,96,3,1,0.75,6.5,0.04
IN069,Morley,0,20,24,52,24,2,6.5,0.18
IN069,Morley,20,43,18,41,41,1,5.9,0.15
IN069,Morley,71,84,24,40,36,0.5,7.4,0.12
IN069,Morley,84,200,22,46,32,0.25,7.9,0.06
IN069,Morley,43,71,22,35,43,0.75,6.3,0.15
IN041,Russell,86,114,36,36,28,0.25,6.2,0.18
IN041,Russell,0,28,10,74,16,1.75,6.2,0.21
IN041,Russell,28,86,5,66,29,0.75,5.3,0.18
IN041,Russell,114,152,48,37,15,0.25,7.9,0.02
IN061,Bedford,0,23,6,77,17,2,5.9,0.21
IN061,Bedford,23,61,4,68,28,0.5,5.2,0.2
IN061,Bedford,61,147,5,67,28,0.25,4.5,0.07
IN061,Bedford,147,203,8,32,60,0.25,5.1,0.11
IN089,Oshtemo,71,112,72,18,10,0.75,6.2,0.09
IN089,Oshtemo,0,18,57,31,12,2,5.8,0.13
