state,year,precip_mm,tmax_f,tmin_f,gdd
Indiana,2010,531.6,81.9,61.7,4002.0
Indiana,2011,651.8,79.4,60.2,3648.0
Indiana,2012,539.0,81.3,59.5,3767.0
Indiana,2013,585.5,77.7,58.5,3409.0
Indiana,2014,657.4,76.0,56.8,3074.0
Indiana,2015,792.5,78.3,59.0,3450.0
Indiana,2016,807.2,78.9,60.0,3657.0
Indiana,2017,742.9,78.8,58.8,3467.0
Indiana,2018,598.4,79.5,60.5,3829.0
Indiana,2019,622.3,78.9,59.9,3605.0
Indiana,2020,518.2,77.6,57.7,3334.0
Indiana,2021,722.9,78.1,58.9,3476.0
Indiana,2022,483.4,78.7,59.1,3556.0
Indiana,2023,436.1,78.7,58.2,3439.0
Iowa,2010,922.5,76.7,55.3,2980.0
Iowa,2011,506.5,75.1,53.2,2772.0
Iowa,2012,345.2,79.7,53.4,3126.0
Iowa,2013,765.0,74.7,52.9,2801.0
Iowa,2014,630.4,74.4,51.9,2611.0
Iowa,2015,639.8,75.6,54.0,2817.0
Iowa,2016,796.5,76.1,54.8,2984.0
Iowa,2017,444.0,76.3,52.6,2742.0
Iowa,2018,947.7,74.9,53.0,2961.0
Iowa,2019,692.7,76.6,54.9,3012.0
Iowa,2020,650.7,77.2,54.1,3042.0
Iowa,2021,356.6,79.3,54.9,3260.0
Iowa,2022,614.4,76.5,54.3,3048.0
Iowa,2023,308.6,80.6,54.5,3325.0
