areasymbol,areaname,musym,muname,compname,saverest,taxorder,drainagecl,elev_r,slope_r,hzdept_r,hzdepb_r,ph1to1h2o_r,om_r,ec_r,cec7_r,awc_r
TX622,"Brewster County, Texas (Main Part)",LRG,"Lozier-Rock outcrop complex, 20 to 70 percent slopes",Rock outcrop,9/5/2025 12:15:54 PM,,,875,55,0,200,,,,,
TX622,"Brewster County, Texas (Main Part)",LRG,"Lozier-Rock outcrop complex, 20 to 70 percent slopes",Lozier,9/5/2025 12:15:54 PM,Aridisols,Well drained,875,30,0,10,8,5,0.9,21.5,0.09
TX622,"Brewster County, Texas (Main Part)",MBE,"Mainstay-Brewster complex, 10 to 30 percent slopes",Mainstay,9/5/2025 12:15:54 PM,Mollisols,Well drained,1585,18,0,8,7.2,2,1,15,0.1
TX622,"Brewster County, Texas (Main Part)",MBE,"Mainstay-Brewster complex, 10 to 30 percent slopes",Rock outcrop,9/5/2025 12:15:54 PM,,,1585,25,0,25,,,,,
TX622,"Brewster County, Texas (Main Part)",MBE,"Mainstay-Brewster complex, 10 to 30 percent slopes",Brewster,9/5/2025 12:15:54 PM,Mollisols,Well drained,1585,20,0,27,6.7,4.4,0,22.9,0.1
TX622,"Brewster County, Texas (Main Part)",MDD,"Mariscal-Rock outcrop complex, 5 to 16 percent slopes",Mariscal,9/5/2025 12:15:54 PM,Entisols,Well drained,762,8,0,13,8,1.5,0,13.6,0.04
TX622,"Brewster County, Texas (Main Part)",MDD,"Mariscal-Rock outcrop complex, 5 to 16 percent slopes",Rock outcrop,9/5/2025 12:15:54 PM,,,762,12,0,200,,,,,
TX622,"Brewster County, Texas (Main Part)",MDE,"Mariscal-Rock outcrop complex, 10 to 30 percent slopes",Mariscal,9/5/2025 12:15:54 PM,Entisols,Well drained,762,20,0,13,8,1.5,0,13.6,0.08
TX622,"Brewster County, Texas (Main Part)",MDE,"Mariscal-Rock outcrop complex, 10 to 30 percent slopes",Rock outcrop,9/5/2025 12:15:54 PM,,,762,25,0,200,,,,,
TX622,"Brewster County, Texas (Main Part)",MOA,"Martillo and Butcherknife soils, 0 to 3 percent slopes",Martillo,9/5/2025 12:15:54 PM,Aridisols,Well drained,1297,2,0,8,8,1.5,0.6,49.1,0.43
TX622,"Brewster County, Texas (Main Part)",MOA,"Martillo and Butcherknife soils, 0 to 3 percent slopes",Butcherknife,9/5/2025 12:15:54 PM,Aridisols,Well drained,1297,2,0,10,8.5,1.5,1.3,27.1,0.18
TX622,"Brewster County, Texas (Main Part)",MRB,"Murray silt loam, 1 to 5 percent slopes",Murray,9/5/2025 12:15:54 PM,Mollisols,Well drained,1585,3,0,25,7.9,1.5,2,6.5,0.14
TX622,"Brewster County, Texas (Main Part)",MZA,"Musquiz clay loam, 0 to 3 percent slopes",Musquiz,9/5/2025 12:15:54 PM,Mollisols,Well drained,1585,2,0,18,7.2,2.8,0.4,25.6,0.17
TX622,"Brewster County, Texas (Main Part)",PAC,"Paisano very gravelly sandy loam, 1 to 8 percent slopes",Paisano,9/5/2025 12:15:54 PM,Aridisols,Well drained,1297,3,0,8,8.2,2,0.5,24,0.04
TX622,"Brewster County, Texas (Main Part)",PAD,"Paisano very gravelly sandy loam, 5 to 16 percent slopes",Paisano,9/5/2025 12:15:54 PM,Aridisols,Well drained,1297,8,0,8,8.2,2,0.5,24,0.04
TX622,"Brewster County, Texas (Main Part)",EUA,"Equipaje-Agust complex, 1 to 3 percent slopes",Agust,9/5/2025 12:15:54 PM,Aridisols,Well drained,762,2,0,18,8.2,0.55,1,7.5,0.08
TX622,"Brewster County, Texas (Main Part)",EUA,"Equipaje-Agust complex, 1 to 3 percent slopes",Equipaje,9/5/2025 12:15:54 PM,Aridisols,Well drained,762,2,0,5,7.5,0.65,1,8.5,0.14
TX622,"Brewster County, Texas (Main Part)",PNA,"Bunton silty clay loam, 0 to 2 percent slopes, occasionally flooded",Bunton,9/5/2025 12:15:54 PM,Aridisols,Well drained,1297,1,0,44,7.5,2,1,33.6,0.16
TX622,"Brewster County, Texas (Main Part)",PTA,"Phantom clay loam, moist, 0 to 2 percent slopes",Phantom,9/5/2025 12:15:54 PM,Mollisols,Well drained,1585,1,0,40,7.5,2,0,35,0.18
TX622,"Brewster County, Texas (Main Part)",RAA,"Reagan loam, 1 to 3 percent slopes",Reagan,9/5/2025 12:15:54 PM,Aridisols,Well drained,815.3,2,0,20,8.2,1.6,1,13.7,0.18
TX622,"Brewster County, Texas (Main Part)",RIA,"Riverwash-Pantera complex, 0 to 2 percent slopes, frequently flooded",Riverwash,9/5/2025 12:15:54 PM,,Excessively drained,762,1,0,203,8.2,0.5,0,0,0.03
TX622,"Brewster County, Texas (Main Part)",RIA,"Riverwash-Pantera complex, 0 to 2 percent slopes, frequently flooded",Pantera,9/5/2025 12:15:54 PM,Entisols,Well drained,762,1,0,8,8.5,0.35,1,10.1,0.06
TX622,"Brewster County, Texas (Main Part)",RME,"Rock outcrop-Mariscal complex, 1 to 20 percent slopes, eroded",Rock outcrop,9/5/2025 12:15:54 PM,,,762,8,0,25,,,,,
TX622,"Brewster County, Texas (Main Part)",RME,"Rock outcrop-Mariscal complex, 1 to 20 percent slopes, eroded",Mariscal,9/5/2025 12:15:54 PM,Entisols,Well drained,762,5,0,15,8.2,1.5,0,10,0.08
